"","200","400","600","800"
"New1",0.0925,0.109,0.121,0.1315
"New2",0.0565,0.064,0.067,0.07
"oracle",0.0475,0.0515,0.0485,0.0505
"chi",0.046,0.045,0.0445,0.0355
"fast",0.0665,0.0615,0.0595,0.0525
"CQ",0.06,0.057,0.0595,0.0545
