"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.052,0.0525,0.061,0.0735,0.018,0.0465
1,0.2585,0.057,0.0615,0.0715,0.014,0.086
2,0.585,0.0545,0.0615,0.0745,0.0175,0.1395
3,0.867,0.06,0.0655,0.078,0.018,0.215
4,0.968,0.062,0.069,0.0845,0.0165,0.3095
