"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.0505,0.0535,0.0635,0.0675,0.049,0.047
1,0.2625,0.1025,0.114,0.122,0.1035,0.0925
2,0.603,0.2175,0.2395,0.254,0.234,0.1435
3,0.8695,0.406,0.4455,0.4655,0.4385,0.202
4,0.974,0.6545,0.691,0.7185,0.695,0.2925
