"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.052,0.044,0.0475,0.069,0.009,0.0365
1,0.2385,0.0545,0.0615,0.0725,0.01,0.101
2,0.5845,0.0505,0.0575,0.072,0.015,0.156
3,0.8675,0.045,0.0505,0.071,0.013,0.2215
4,0.9755,0.059,0.0655,0.086,0.0145,0.306
