"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.049,0.045,0.0525,0.0625,0.0125,0.0485
1,0.258,0.05,0.0585,0.07,0.0105,0.097
2,0.601,0.054,0.0645,0.0795,0.0155,0.176
3,0.8715,0.0555,0.0625,0.076,0.017,0.277
4,0.9745,0.052,0.0625,0.078,0.0135,0.3975
