"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.0515,0.0465,0.0595,0.0735,0.008,0.051
1,0.243,0.0515,0.064,0.0755,0.0075,0.0885
2,0.6,0.0545,0.064,0.078,0.006,0.137
3,0.8565,0.0555,0.0655,0.078,0.008,0.2055
4,0.9765,0.054,0.063,0.0815,0.014,0.2905
