"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.05,0.052,0.0585,0.0695,0.0195,0.047
1,0.254,0.0605,0.0705,0.0855,0.0265,0.136
2,0.5835,0.047,0.058,0.07,0.022,0.297
3,0.831,0.0625,0.071,0.083,0.031,0.455
4,0.9665,0.0635,0.076,0.088,0.033,0.6515
