"","200","400","600","800"
"New1",0.06,0.072,0.0865,0.069
"New2",0.046,0.06,0.066,0.051
"oracle",0.0435,0.057,0.0605,0.045
"chi",0.048,0.053,0.05,0.05
"fast",0.077,0.078,0.0765,0.0715
"CQ",0.059,0.0635,0.062,0.0605
