"","200","500","800"
"New1",0.1,0.2,0.2
"New2",0,0,0.2
"New3",0,0,0.1
"oracle",0,0,0.1
"chi",0.1,0,0.1
"fast",0.1,0,0.1
"CQ",0.1,0.1,0.1
"SD",0.1,0,0.1
"ljw",0.1,0,0
