"","200","500","800"
"New1",0.2,0.2,0.5
"New2",0,0,0.3
"New3",0,0,0.2
"oracle",0,0,0.1
"chi",0.2,0,0.2
"fast",0.2,0.1,0.2
"CQ",0.2,0.1,0.3
"SD",0.2,0.1,0.2
"ljw",0,0,0.1
