"","200","500","800"
"New1",0.2,0.7,0.1
"New2",0,0.2,0
"New3",0,0.1,0
"oracle",0,0.1,0
"chi",0,0,0
"fast",0.1,0,0
"CQ",0.1,0.2,0
"SD",0,0.2,0
"ljw",0.2,0.1,0
