"","200","500","800"
"New1",0.1,0.4,0.3
"New2",0.1,0.2,0.2
"New3",0.1,0.2,0.1
"oracle",0.1,0.2,0.1
"chi",0,0.2,0
"fast",0,0.2,0
"CQ",0.1,0.2,0.1
"SD",0,0,0
"ljw",0.1,0,0
