"","200","400","600","800"
"New1",0.073,0.065,0.078,0.0705
"New2",0.0585,0.0495,0.0595,0.0505
"oracle",0.054,0.043,0.053,0.0435
"chi",0.052,0.0515,0.054,0.0465
"fast",0.054,0.0525,0.058,0.052
"CQ",0.0745,0.069,0.076,0.065
