"","200","400","600","800"
"New1",0.062,0.069,0.079,0.073
"New2",0.055,0.0535,0.065,0.062
"oracle",0.0465,0.049,0.0545,0.051
"chi",0.0475,0.0465,0.047,0.0425
"fast",0.069,0.071,0.07,0.06
"CQ",0.055,0.0595,0.06,0.053
