"","200","400","600","800"
"New1",0.072,0.07,0.07,0.084
"New2",0.0605,0.0585,0.051,0.065
"oracle",0.0555,0.0545,0.046,0.057
"chi",0.042,0.052,0.053,0.0505
"fast",0.043,0.052,0.053,0.0485
"CQ",0.063,0.0675,0.0725,0.0665
