"","200","400","600","800"
"New1",0.062,0.0635,0.0765,0.0745
"New2",0.048,0.0505,0.0535,0.0525
"oracle",0.0445,0.046,0.0445,0.0465
"chi",0.042,0.049,0.0475,0.0455
"fast",0.064,0.075,0.076,0.0695
"CQ",0.051,0.057,0.059,0.057
