"","200","400","600","800"
"New1",0.0705,0.0745,0.0715,0.069
"New2",0.0535,0.056,0.0565,0.0545
"oracle",0.051,0.0535,0.0455,0.0495
"chi",0.051,0.0555,0.065,0.0545
"fast",0.0525,0.055,0.0615,0.054
"CQ",0.0645,0.0745,0.0755,0.0715
