"","200","400","600","800"
"New1",0.0625,0.069,0.07,0.07
"New2",0.051,0.054,0.052,0.052
"oracle",0.0515,0.0485,0.046,0.047
"chi",0.045,0.062,0.055,0.057
"fast",0.0485,0.0575,0.0515,0.0585
"CQ",0.06,0.079,0.067,0.0775
