"","200","400","600","800"
"New1",0.06,0.066,0.073,0.066
"New2",0.05,0.0505,0.0605,0.054
"oracle",0.0465,0.0465,0.0555,0.0465
"chi",0.054,0.0485,0.046,0.049
"fast",0.0545,0.0505,0.0455,0.0505
"CQ",0.0695,0.069,0.062,0.072
