"","200","400","600","800"
"New1",0.074,0.068,0.0795,0.0975
"New2",0.058,0.054,0.057,0.072
"oracle",0.0515,0.047,0.047,0.061
"chi",0.0605,0.058,0.0465,0.0515
"fast",0.0615,0.0555,0.0455,0.053
"CQ",0.082,0.076,0.064,0.065
