"","200","400","600","800"
"New1",0.0875,0.078,0.0825,0.0845
"New2",0.0675,0.0585,0.06,0.066
"oracle",0.054,0.046,0.0505,0.0515
"chi",0.048,0.053,0.051,0.039
"fast",0.07,0.0735,0.0755,0.063
"CQ",0.0555,0.0635,0.063,0.0545
