"","200","400","600","800"
"New1",0.0835,0.081,0.082,0.087
"New2",0.0675,0.0615,0.0595,0.0625
"oracle",0.0625,0.053,0.052,0.051
"chi",0.046,0.056,0.053,0.0545
"fast",0.046,0.0575,0.0525,0.0505
"CQ",0.0625,0.0745,0.0685,0.07
