"","200","400","600","800"
"New1",0.0795,0.071,0.085,0.094
"New2",0.064,0.0535,0.062,0.0625
"oracle",0.058,0.048,0.053,0.052
"chi",0.042,0.0485,0.0475,0.038
"fast",0.0705,0.0745,0.078,0.064
"CQ",0.052,0.064,0.066,0.054
