"","200","400","600","800"
"New1",0.0635,0.0725,0.07,0.0795
"New2",0.048,0.051,0.0485,0.058
"oracle",0.042,0.0475,0.0405,0.0475
"chi",0.054,0.054,0.054,0.048
"fast",0.0545,0.0555,0.0535,0.046
"CQ",0.0715,0.075,0.072,0.0645
