"","200","400","600","800"
"New1",0.0645,0.0725,0.088,0.081
"New2",0.0515,0.0555,0.0585,0.0565
"oracle",0.043,0.0475,0.0505,0.0445
"chi",0.052,0.046,0.0415,0.046
"fast",0.078,0.071,0.0705,0.071
"CQ",0.062,0.059,0.0595,0.062
