"","200","400","600","800"
"New1",0.0685,0.0835,0.0795,0.0895
"New2",0.057,0.061,0.066,0.058
"oracle",0.0525,0.056,0.057,0.0465
"chi",0.0435,0.0535,0.057,0.052
"fast",0.0435,0.0545,0.0535,0.052
"CQ",0.0575,0.0685,0.0725,0.0695
