"","200","400","600","800"
"New1",0.0695,0.0705,0.0825,0.0985
"New2",0.051,0.0545,0.0635,0.0705
"oracle",0.046,0.0465,0.052,0.0595
"chi",0.06,0.051,0.0425,0.0535
"fast",0.0605,0.047,0.0405,0.052
"CQ",0.075,0.0615,0.057,0.0735
