"","200","400","600","800"
"New1",0.0725,0.08,0.0865,0.08
"New2",0.06,0.059,0.061,0.06
"oracle",0.054,0.0495,0.0535,0.0535
"chi",0.053,0.0425,0.057,0.058
"fast",0.055,0.045,0.053,0.0585
"CQ",0.0665,0.062,0.0705,0.0805
