"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.065,0.0545,0.064,0.076,0.0025,0.0495
1,0.24,0.047,0.0555,0.073,0.0035,0.0965
2,0.6035,0.0505,0.061,0.0755,0,0.1445
3,0.8505,0.047,0.054,0.073,0.0015,0.212
4,0.9655,0.053,0.059,0.077,0.0025,0.2905
