"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.056,0.0575,0.064,0.0675,0.053,0.0505
1,0.2625,0.1105,0.1265,0.1345,0.113,0.083
2,0.583,0.234,0.2585,0.2735,0.2405,0.1345
3,0.8605,0.431,0.465,0.4975,0.463,0.222
4,0.9725,0.647,0.6825,0.712,0.6785,0.2985
