"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.0565,0.0645,0.0675,0.077,0.004,0.048
1,0.264,0.0465,0.056,0.071,0.002,0.096
2,0.5945,0.054,0.063,0.0785,0,0.153
3,0.8505,0.048,0.059,0.073,0.003,0.22
4,0.971,0.0525,0.0655,0.079,0.002,0.277
