"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.0585,0.0485,0.0535,0.0685,0.0145,0.0485
1,0.2405,0.0585,0.0645,0.079,0.016,0.075
2,0.556,0.0595,0.064,0.0815,0.0185,0.101
3,0.8395,0.064,0.073,0.0815,0.017,0.1455
4,0.963,0.058,0.0645,0.083,0.015,0.186
