"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.0555,0.0555,0.0625,0.08,0.001,0.0515
1,0.27,0.057,0.0635,0.0785,0.003,0.0805
2,0.59,0.051,0.0595,0.0765,0.002,0.1465
3,0.8695,0.057,0.0675,0.0855,0.001,0.215
4,0.972,0.0505,0.057,0.074,0.001,0.302
