"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.046,0.053,0.061,0.078,0.0225,0.047
1,0.2535,0.056,0.061,0.0785,0.024,0.1235
2,0.5795,0.058,0.0645,0.084,0.029,0.222
3,0.8395,0.0605,0.0685,0.085,0.0275,0.3355
4,0.965,0.0575,0.068,0.082,0.027,0.5
