"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.054,0.052,0.0595,0.0695,0.011,0.053
1,0.248,0.0565,0.0635,0.08,0.0145,0.0785
2,0.603,0.0635,0.0695,0.0845,0.013,0.15
3,0.8625,0.0555,0.063,0.081,0.015,0.2125
4,0.9695,0.0505,0.0535,0.0705,0.014,0.297
