"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.051,0.0495,0.0555,0.0725,0.0245,0.049
1,0.249,0.054,0.0625,0.0755,0.028,0.0845
2,0.568,0.0605,0.067,0.082,0.0315,0.1475
3,0.8375,0.0635,0.0715,0.0905,0.031,0.2245
4,0.948,0.071,0.075,0.0955,0.0375,0.2985
