"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.04,0.052,0.063,0.079,0.0145,0.05
1,0.24,0.052,0.0575,0.0795,0.019,0.087
2,0.584,0.0455,0.055,0.0715,0.01,0.1375
3,0.852,0.058,0.069,0.088,0.014,0.2075
4,0.9745,0.056,0.0675,0.086,0.016,0.292
