"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.0555,0.0545,0.0615,0.0755,0.009,0.057
1,0.243,0.051,0.0555,0.074,0.009,0.07
2,0.5355,0.053,0.0585,0.078,0.0105,0.0915
3,0.831,0.0515,0.0545,0.075,0.0155,0.1305
4,0.967,0.05,0.0545,0.073,0.011,0.1395
