"SNR","NEW","CCQ","FAST","CQ","SD","LJW"
0,0.046,0.056,0.066,0.0805,0.0105,0.0495
1,0.239,0.0455,0.0525,0.065,0.008,0.0665
2,0.587,0.056,0.0655,0.0785,0.0125,0.119
3,0.856,0.06,0.064,0.0775,0.011,0.1635
4,0.972,0.054,0.0615,0.0745,0.011,0.2165
