"","200","500","800"
"New1",0.094,0.1035,0.1145
"New2",0.0675,0.0645,0.0655
"New3",0.0575,0.052,0.052
"oracle",0.0555,0.0505,0.0475
"chi",0.0555,0.0575,0.063
"fast",0.056,0.058,0.0625
"CQ",0.0785,0.072,0.0875
"SD",0.0025,0.001,0
"ljw",0.049,0.0445,0.049
