"","200","500","800"
"New1",0.163,0.2535,0.3285
"New2",0.08,0.094,0.108
"New3",0.0635,0.0565,0.058
"oracle",0.051,0.047,0.052
"chi",0.036,0.033,0.027
"fast",0.0465,0.0405,0.034
"CQ",0.063,0.0645,0.0575
"SD",0.0515,0.05,0.044
"ljw",0.0535,0.048,0.0455
