"","200","500","800"
"New1",0.1025,0.126,0.1635
"New2",0.057,0.073,0.0775
"New3",0.047,0.0525,0.0445
"oracle",0.0425,0.0505,0.045
"chi",0.0415,0.052,0.054
"fast",0.044,0.0505,0.055
"CQ",0.0615,0.0695,0.0755
"SD",0.003,0,5e-04
"ljw",0.041,0.0455,0.051
