"","200","500","800"
"New1",0.083,0.1045,0.1115
"New2",0.0625,0.0635,0.0655
"New3",0.056,0.0505,0.054
"oracle",0.055,0.051,0.0505
"chi",0.0525,0.0385,0.0475
"fast",0.0665,0.049,0.0555
"CQ",0.072,0.0515,0.0635
"SD",0.0585,0.0445,0.0585
"ljw",0.0545,0.0555,0.048
