"","200","500","800"
"New1",0.084,0.0995,0.1235
"New2",0.059,0.0595,0.074
"New3",0.051,0.049,0.056
"oracle",0.0505,0.0485,0.0485
"chi",0.0555,0.048,0.0585
"fast",0.0535,0.048,0.057
"CQ",0.0765,0.0655,0.0775
"SD",0.003,0,0
"ljw",0.0465,0.0535,0.048
