"","200","500","800"
"New1",0.0875,0.1095,0.1115
"New2",0.0555,0.065,0.065
"New3",0.0495,0.054,0.054
"oracle",0.0475,0.052,0.049
"chi",0.0395,0.0475,0.0455
"fast",0.055,0.06,0.0555
"CQ",0.0565,0.0725,0.066
"SD",0.0465,0.06,0.056
"ljw",0.047,0.05,0.0605
