"","200","500","800"
"New1",0.1685,0.2605,0.329
"New2",0.086,0.101,0.1215
"New3",0.0545,0.0535,0.047
"oracle",0.0535,0.0495,0.045
"chi",0.0445,0.0545,0.047
"fast",0.049,0.056,0.0455
"CQ",0.069,0.076,0.0675
"SD",0.006,0.001,0
"ljw",0.0435,0.05,0.0535
