"","200","500","800"
"New1",0.1135,0.141,0.166
"New2",0.066,0.071,0.076
"New3",0.0545,0.0565,0.0515
"oracle",0.0535,0.048,0.049
"chi",0.0355,0.049,0.035
"fast",0.052,0.064,0.045
"CQ",0.0585,0.0705,0.051
"SD",0.041,0.0615,0.0445
"ljw",0.044,0.045,0.0505
