"","200","500","800"
"New1",0.1,0.1285,0.169
"New2",0.062,0.074,0.0815
"New3",0.051,0.05,0.0565
"oracle",0.0475,0.0505,0.052
"chi",0.0645,0.058,0.0455
"fast",0.062,0.056,0.0495
"CQ",0.0855,0.0775,0.0675
"SD",0.0055,0.0025,0.0015
"ljw",0.048,0.0495,0.0545
