"","200","500","800"
"New1",0.0975,0.141,0.16
"New2",0.0645,0.069,0.08
"New3",0.053,0.05,0.0475
"oracle",0.056,0.0495,0.0415
"chi",0.049,0.0475,0.0615
"fast",0.05,0.049,0.058
"CQ",0.0715,0.0665,0.088
"SD",0.022,0.0135,0.0085
"ljw",0.0525,0.0515,0.0485
