"","200","500","800"
"New1",0.0895,0.122,0.1625
"New2",0.0585,0.0655,0.0795
"New3",0.0455,0.0475,0.05
"oracle",0.0465,0.0465,0.049
"chi",0.0605,0.0435,0.054
"fast",0.059,0.049,0.055
"CQ",0.0785,0.0655,0.074
"SD",0.0225,0.0115,0.01
"ljw",0.0485,0.0445,0.0465
