"","200","500","800"
"New1",0.1845,0.292,0.3435
"New2",0.084,0.1065,0.1085
"New3",0.0595,0.064,0.0595
"oracle",0.052,0.0525,0.052
"chi",0.038,0.035,0.0295
"fast",0.048,0.046,0.035
"CQ",0.063,0.0725,0.061
"SD",0.044,0.0515,0.0405
"ljw",0.044,0.05,0.0505
