"","200","500","800"
"New1",0.0995,0.1215,0.1725
"New2",0.063,0.067,0.08
"New3",0.051,0.0465,0.0495
"oracle",0.0505,0.0475,0.0525
"chi",0.054,0.051,0.044
"fast",0.052,0.0475,0.0455
"CQ",0.075,0.074,0.07
"SD",0.0025,5e-04,5e-04
"ljw",0.0535,0.0435,0.055
