"","200","500","800"
"New1",0.17,0.2725,0.342
"New2",0.0815,0.106,0.1335
"New3",0.056,0.0585,0.062
"oracle",0.0545,0.056,0.0565
"chi",0.053,0.058,0.0535
"fast",0.048,0.0565,0.054
"CQ",0.071,0.0785,0.072
"SD",0.02,0.0165,0.013
"ljw",0.047,0.052,0.046
