"","200","500","800"
"New1",0.168,0.273,0.357
"New2",0.09,0.1105,0.127
"New3",0.0625,0.06,0.0505
"oracle",0.0605,0.0535,0.0485
"chi",0.0505,0.0535,0.0515
"fast",0.048,0.053,0.049
"CQ",0.0725,0.0775,0.073
"SD",0.0225,0.013,0.01
"ljw",0.0565,0.047,0.0535
