"","200","500","800"
"New1",0.0775,0.091,0.11
"New2",0.056,0.062,0.061
"New3",0.047,0.052,0.046
"oracle",0.0475,0.048,0.042
"chi",0.05,0.0535,0.056
"fast",0.046,0.053,0.0585
"CQ",0.073,0.0795,0.0725
"SD",0.0145,0.0145,0.008
"ljw",0.058,0.0595,0.051
