"","200","500","800"
"New1",0.092,0.13,0.168
"New2",0.0605,0.068,0.0815
"New3",0.0505,0.0495,0.056
"oracle",0.0455,0.0425,0.046
"chi",0.0525,0.0605,0.0545
"fast",0.054,0.062,0.054
"CQ",0.0735,0.0845,0.0715
"SD",0.005,0.0025,0.001
"ljw",0.048,0.052,0.049
