"","200","500","800"
"New1",0.1905,0.269,0.357
"New2",0.093,0.0965,0.1165
"New3",0.073,0.068,0.0775
"oracle",0.057,0.0505,0.05
"chi",0.0395,0.0355,0.0315
"fast",0.0485,0.043,0.0375
"CQ",0.0605,0.0655,0.067
"SD",0.045,0.0445,0.045
"ljw",0.051,0.056,0.0425
