"","200","500","800"
"New1",0.0825,0.1,0.1125
"New2",0.058,0.0575,0.0675
"New3",0.052,0.0495,0.0575
"oracle",0.05,0.045,0.0515
"chi",0.049,0.052,0.043
"fast",0.0625,0.072,0.0595
"CQ",0.0655,0.078,0.071
"SD",0.053,0.0675,0.06
"ljw",0.054,0.052,0.0535
