"","200","500","800"
"New1",0.0775,0.0895,0.1165
"New2",0.055,0.059,0.0735
"New3",0.0495,0.0495,0.0565
"oracle",0.0465,0.0485,0.0555
"chi",0.048,0.056,0.049
"fast",0.051,0.054,0.05
"CQ",0.0675,0.0705,0.0695
"SD",0.004,0.002,5e-04
"ljw",0.049,0.0475,0.049
