"","200","500","800"
"New1",0.1715,0.262,0.36
"New2",0.0795,0.108,0.1245
"New3",0.0505,0.0585,0.054
"oracle",0.0505,0.044,0.045
"chi",0.051,0.049,0.045
"fast",0.0535,0.047,0.047
"CQ",0.0785,0.0745,0.07
"SD",0.0055,0.001,0.001
"ljw",0.053,0.05,0.0515
