"","200","500","800"
"New1",0.0975,0.1335,0.1665
"New2",0.06,0.0715,0.0835
"New3",0.05,0.0565,0.062
"oracle",0.0485,0.049,0.053
"chi",0.045,0.0405,0.0355
"fast",0.0555,0.0495,0.048
"CQ",0.0635,0.062,0.06
"SD",0.0535,0.0505,0.05
"ljw",0.05,0.0465,0.049
