"","200","500","800"
"New1",0.1645,0.2725,0.345
"New2",0.078,0.108,0.123
"New3",0.0505,0.0585,0.051
"oracle",0.045,0.0535,0.0385
"chi",0.052,0.0495,0.0475
"fast",0.0515,0.05,0.0495
"CQ",0.077,0.0715,0.0675
"SD",0.0215,0.0075,0.01
"ljw",0.0485,0.044,0.054
