"","200","500","800"
"New1",0.098,0.1205,0.169
"New2",0.057,0.073,0.088
"New3",0.047,0.0615,0.0605
"oracle",0.044,0.053,0.0525
"chi",0.0525,0.058,0.049
"fast",0.0535,0.063,0.0475
"CQ",0.0745,0.0865,0.0675
"SD",0.0245,0.0125,0.0105
"ljw",0.0555,0.049,0.047
