"","200","500","800"
"New1",0.0845,0.089,0.107
"New2",0.0595,0.057,0.0585
"New3",0.0515,0.0465,0.0425
"oracle",0.048,0.05,0.0395
"chi",0.057,0.05,0.047
"fast",0.054,0.0465,0.047
"CQ",0.072,0.0695,0.0715
"SD",0.022,0.013,0.009
"ljw",0.0515,0.058,0.0525
